ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
1,Borer Resistance Observation Maize Trial,K9308IB,1,9134-14,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,4718.7,,,,,,,2.25,,57.00,4.25,27.00,100.00,2.00,,,,2.50,3.00,,,,3.25,29.50,200.00,3.25,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Borer Resistance Observation Maize Trial,K9308IB,2,8813-6,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5924.2,,,,,,,2.00,,56.50,2.25,33.00,105.00,2.00,,,,2.25,1.75,,,,2.25,33.50,235.00,2.00,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Borer Resistance Observation Maize Trial,K9308IB,3,8321-21,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,4615.5,,,,,,,2.00,,55.75,4.25,28.50,98.75,3.50,,,,2.25,4.75,,,,3.00,28.50,200.00,4.25,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Borer Resistance Observation Maize Trial,K9308IB,4,8644-27,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,4950.7,,,,,,,2.00,,54.75,3.00,30.25,101.25,3.50,,,,2.50,3.75,,,,2.50,29.50,190.00,2.50,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Borer Resistance Observation Maize Trial,K9308IB,5,9021-18,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5321.5,,,,,,,2.00,,56.50,3.00,29.75,96.25,2.00,,,,2.75,2.75,,,,2.25,32.00,197.50,2.75,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Borer Resistance Observation Maize Trial,K9308IB,6,*TZBR ELDANA3 C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5625.8,,,,,,,2.00,,55.50,4.25,30.75,125.00,3.50,,,,2.50,3.75,,,,4.00,29.25,216.25,3.00,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Borer Resistance Observation Maize Trial,K9308IB,7,TZSR W-1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5292.2,,,,,,,2.00,,58.75,4.25,33.50,108.75,3.50,,,,2.75,3.75,,,,4.25,33.75,212.50,3.25,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Borer Resistance Observation Maize Trial,K9308IB,8,CHECK 1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5426.8,,,,,,,2.25,,55.75,3.50,29.50,95.00,2.00,,,,2.25,2.75,,,,2.75,30.00,188.75,3.25,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Borer Resistance Observation Maize Trial,K9308IB,9,CHECK 2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,5747.7,,,,,,,2.25,,56.50,2.50,34.50,98.75,2.75,,,,2.50,3.00,,,,2.00,34.25,187.50,3.00,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Borer Resistance Observation Maize Trial,K9308IB2,1,9134-14,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1640.2,,,,,,,,,55.75,3.75,,,2.75,,,,,3.50,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Borer Resistance Observation Maize Trial,K9308IB2,2,8813-6,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,2006.4,,,,,,,,,55.00,3.50,,,3.25,,,,,2.75,,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Borer Resistance Observation Maize Trial,K9308IB2,3,8321-21,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1678.0,,,,,,,,,55.50,4.25,,,3.75,,,,,4.00,,,,,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Borer Resistance Observation Maize Trial,K9308IB2,4,8644-27,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1395.2,,,,,,,,,56.00,5.00,,,4.75,,,,,4.75,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Borer Resistance Observation Maize Trial,K9308IB2,5,9021-18,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1718.5,,,,,,,,,55.75,3.75,,,3.75,,,,,3.75,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Borer Resistance Observation Maize Trial,K9308IB2,6,*TZBR ELDANA3 C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1633.8,,,,,,,,,56.25,4.00,,,3.25,,,,,3.25,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Borer Resistance Observation Maize Trial,K9308IB2,7,TZSR W-1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1515.5,,,,,,,,,55.75,4.25,,,3.25,,,,,4.00,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Borer Resistance Observation Maize Trial,K9308IB2,8,CHECK 1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,2047.1,,,,,,,,,52.75,2.75,,,2.75,,,,,2.25,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Borer Resistance Observation Maize Trial,K9308IB2,9,CHECK 2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,1993,1734.7,,,,,,,,,56.00,3.75,,,3.50,,,,,3.75,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Borer Resistance Observation Maize Trial,K9308IK,1,9134-14,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,1993,3984.6,4.00,,,,,,4.75,,54.50,3.50,29.00,107.50,4.25,,,,2.50,,2.75,,,3.25,30.75,207.50,2.25,,,4.50,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Borer Resistance Observation Maize Trial,K9308IK,2,8813-6,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,1993,4664.0,4.75,,,,,,4.50,,54.50,3.00,32.25,112.50,2.50,,,,2.50,,2.25,,,3.00,33.75,230.00,3.00,,,4.00,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Borer Resistance Observation Maize Trial,K9308IK,3,8321-21,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,1993,2915.4,4.50,,,,,,4.25,,53.25,3.25,25.75,102.50,5.75,,,,3.00,,4.00,,,3.25,31.75,200.00,2.00,,,4.25,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Borer Resistance Observation Maize Trial,K9308IK,4,8644-27,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,1993,4247.6,3.50,,,,,,2.75,,53.00,2.75,32.25,95.00,4.50,,,,2.75,,3.50,,,2.75,32.50,196.25,2.75,,,4.75,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
