ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YLDUN,YLDIN,PL_STUN,PL_STIN,DY_SKUN,DY_SKIN,PL_HTUN,PL_HTIN,E_HTUN,E_HTIN,ASI_IN,ASI_UN,DY_TASSIN,DY_TASSUN,E_ASPIN,E_ASPUN,E_HARVIN,E_HARVUN,E_ROTIN,E_ROTUN,ELDIN,HUSKUN,HUSKIN,INSTINF,INSTUN,P_ASPIN,P_ASPUN,P_HARVIN,P_HARVUN,R_LIN,R_LUN,RLPER,RUSTIN,RUSTUN,S_LIN,S_LUN,SLPER,STR_CO1,STR_CO2,STR_CO3,STR_RAT1,STR_RAT2,STREAK,BLTIN_M,BLTUN_M,CURVIN,CURVUN,STR_CO3_IN,STR_CO3_UN,STR_RA1_IN,STR_RA1_UN,STR_RA2_IN,STR_RA2_UN,STR_CO1_IN,STR_CO1_UN,STR_CO2_IN,STR_CO2_UN,POLSHEDIN,POLSHEDUN,HMIN,HMUN
1,International Striga Observation Trial,K893BG,1,8321-18,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,2546,,28.25,,6.25,,217.50,,16.25,,,,,,,3.50,,3.00,,,,4.25,,,,,,,29.25,,2.75,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
2,International Striga Observation Trial,K893BG,2,8322-13,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,2352,,37.50,,58.75,,215.00,,12.50,,,,,,,5.00,,32.50,,,,4.75,,,,,,,36.75,,1.75,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
3,International Striga Observation Trial,K893BG,3,8338-1,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,1746,,37.00,,59.00,,22.00,,17.50,,,,,,,5.50,,25.75,,,,5.00,,,,,,,34.25,,2.50,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
4,International Striga Observation Trial,K893BG,4,8428-19,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,219,,21.25,,58.50,,197.50,,97.50,,,,,,,3.50,,22.50,,,,5.00,,,,,,,21.75,,2.00,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
5,International Striga Observation Trial,K893BG,5,8425-8,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,153,,27.00,,59.75,,196.25,,15.00,,,,,,,4.50,,23.00,,,,4.50,,,,,,,27.75,,1.50,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,
6,International Striga Observation Trial,K893BG,6,8644-31,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,2497,,36.00,,58.50,,27.50,,17.50,,,,,,,4.00,,34.75,,,,4.75,,,,,,,35.50,,1.25,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
7,International Striga Observation Trial,K893BG,7,855-13,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,212,,36.50,,58.50,,195.00,,12.50,,,,,,,4.75,,32.25,,,,4.00,,,,,,,36.75,,2.00,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
8,International Striga Observation Trial,K893BG,8,ACR 87 TZUT W,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,2497,,38.75,,57.75,,215.00,,11.25,,,,,,,4.75,,3.75,,,,4.75,,,,,,,4.75,,1.50,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
9,International Striga Observation Trial,K893BG,9,TZSR-W STR TOL,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,1576,,37.50,,62.00,,222.50,,123.75,,,,,,,5.50,,32.50,,,,4.00,,,,,,,37.00,,2.25,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
10,International Striga Observation Trial,K893BG,1,8321-21,NIGERIA,BAGAUDA,,8.22,12.00,Dry Savanna,1989,2546,,36.25,,58.75,,215.00,,18.75,,,,,,,4.50,,33.50,,,,4.75,,,,,,,37.00,,2.50,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
11,International Striga Observation Trial,K893MO,1,8321-18,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,38.25,,52.25,,23.75,,11.25,,,,,,,2.50,,,3.00,3.00,,,,3.50,3.75,,,,,,,,,,,,,43.25,7.50,,,,5.50,,,,,,,,,,,,,,,,,,
12,International Striga Observation Trial,K893MO,2,8322-13,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,38.75,,52.50,,197.50,,11.25,,,,,,,2.50,,,2.25,3.00,,,,3.00,4.00,,,,,,,,,,,,,27.00,38.50,,,,4.75,,,,,,,,,,,,,,,,,,
13,International Striga Observation Trial,K893MO,3,8338-1,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,39.00,,53.25,,197.50,,8.00,,,,,,,3.00,,,3.50,3.50,,,,4.25,4.00,,,,,,,,,,,,,59.75,72.25,,,,7.00,,,,,,,,,,,,,,,,,,
14,International Striga Observation Trial,K893MO,4,8428-19,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,12.30,,52.00,,186.25,,73.75,,,,,,,3.56,,,3.00,3.92,,,,2.75,2.51,,,,,,,,,,,,,7.30,2.25,,,,5.00,,,,,,,,,,,,,,,,,,
15,International Striga Observation Trial,K893MO,5,8425-8,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,38.25,,51.75,,168.75,,77.50,,,,,,2.75,2.75,,,3.50,4.00,,,,3.75,3.25,,,,,,,,,,,,,4.75,53.00,,,,5.00,,,,,,,,,,,,,,,,,,
16,International Striga Observation Trial,K893MO,6,8644-31,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,38.75,,53.50,,177.50,,81.25,,,,,,2.75,3.00,,,2.25,2.50,,,,4.00,4.50,,,,,,,,,,,,,13.75,22.50,,,,3.75,,,,,,,,,,,,,,,,,,
17,International Striga Observation Trial,K893MO,7,855-13,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,37.25,,53.75,,183.75,,86.25,,,,,,3.13,3.75,,,3.50,3.25,,,,2.75,3.50,,,,,,,,,,,,,1.25,16.50,,,,5.50,,,,,,,,,,,,,,,,,,
18,International Striga Observation Trial,K893MO,8,ACR 87 TZUT W,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,37.00,,54.50,,218.75,,98.75,,,,,,3.13,3.75,,,4.50,3.50,,,,4.00,4.25,,,,,,,,,,,,,49.00,6.25,,,,6.00,,,,,,,,,,,,,,,,,,
19,International Striga Observation Trial,K893MO,9,TZSR-W STR TOL,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,37.75,,55.50,,26.25,,97.50,,,,,,2.38,3.50,,,4.00,3.00,,,,3.75,3.25,,,,,,,,,,,,,49.50,66.50,,,,6.50,,,,,,,,,,,,,,,,,,
20,International Striga Observation Trial,K893MO,1,8321-21,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,41.00,,53.75,,195.00,,9.00,,,,,,3.00,3.00,,,3.75,4.25,,,,4.50,4.75,,,,,,,,,,,,,39.75,62.75,,,,5.25,,,,,,,,,,,,,,,,,,
21,International Striga Observation Trial,K893MO,11,LOCAL CHECK,NIGERIA,MOKWA,,5.70,9.30,Moist Savanna,1989,,,39.00,,57.00,,26.25,,11.25,,,,,,2.88,4.50,,,3.50,4.50,,,,4.00,4.50,,,,,,,,,,,,,23.25,35.75,,,,6.00,,,,,,,,,,,,,,,,,,
22,International Striga Observation Trial,K893SM,1,8321-18,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,5657,,36.33,,61.67,,218.33,,116.67,,,,,,4.25,3.33,,35.67,,,,2.00,,,,,3.33,,36.33,,1.67,,,2.67,,1.33,,,,,,,,,3.67,,,,,,,,,,,,,,,,
23,International Striga Observation Trial,K893SM,2,8322-13,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4817,,38.00,,62.00,,226.67,,121.67,,,,,,4.50,4.00,,35.00,,,,2.67,,,,,5.33,,39.00,,2.00,,,3.33,,1.67,,,,,,,,,4.33,,,,,,,,,,,,,,,,
24,International Striga Observation Trial,K893SM,3,8338-1,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,460,,4.67,,62.33,,236.67,,13.00,,,,,,3.75,5.33,,39.00,,,,3.00,,,,,5.00,,38.67,,3.00,,,2.67,,1.67,,,,,,,,,4.67,,,,,,,,,,,,,,,,
25,International Striga Observation Trial,K893SM,4,8428-19,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4461,,28.33,,62.00,,211.67,,11.00,,,,,,4.00,4.00,,26.33,,,,5.00,,,,,4.33,,28.00,,2.00,,,2.67,,1.33,,,,,,,,,3.33,,,,,,,,,,,,,,,,
26,International Striga Observation Trial,K893SM,5,8425-8,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,49,,36.33,,61.33,,23.33,,1.00,,,,,,3.75,3.67,,23.67,,,,2.00,,,,,4.33,,37.67,,2.00,,,2.67,,1.33,,,,,,,,,3.33,,,,,,,,,,,,,,,,
27,International Striga Observation Trial,K893SM,6,8644-31,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,423,,4.67,,62.00,,26.67,,111.67,,,,,,3.50,5.00,,33.00,,,,4.33,,,,,4.67,,4.00,,2.33,,,3.33,,1.00,,,,,,,,,3.00,,,,,,,,,,,,,,,,
28,International Striga Observation Trial,K893SM,7,855-13,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,363,,42.00,,62.00,,23.33,,15.00,,,,,,4.00,5.00,,28.00,,,,2.33,,,,,5.00,,4.67,,4.33,,,3.67,,2.67,,,,,,,,,3.33,,,,,,,,,,,,,,,,
29,International Striga Observation Trial,K893SM,8,ACR 87 TZUT W,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4138,,38.33,,63.33,,213.33,,1.00,,,,,,3.75,6.33,,38.67,,,,1.67,,,,,5.67,,39.33,,2.67,,,3.00,,1.33,,,,,,,,,4.00,,,,,,,,,,,,,,,,
30,International Striga Observation Trial,K893SM,9,TZSR-W STR TOL,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4623,,39.33,,62.33,,216.67,,12.00,,,,,,4.00,5.33,,38.67,,,,2.33,,,,,4.33,,4.67,,2.00,,,3.33,,1.67,,,,,,,,,4.33,,,,,,,,,,,,,,,,
